question,options,answer
What is the CO2 footprint of an average apple per kilogram of food product?,"['a) 0.2 kg CO2 eq', 'b) 0.3 kg CO2 eq', 'c) 0.8 kg CO2 eq', 'd) 0.4 kg CO2 eq']",b
Which food product has the highest water footprint per kilogram of food product?,"['a) Olive oil', 'b) Beef', 'c) Butter', 'd) Bread']",b
What is the CO2 footprint of pork (organic) per kilogram of food product?,"['a) 5.2 kg CO2 eq', 'b) 4.6 kg CO2 eq', 'c) 12.5 kg CO2 eq', 'd) 7.9 kg CO2 eq']",a
What is the CO2 footprint of a beef patty with rice and fresh peas per serving?,"['a) 2.0 kg CO2 eq', 'b) 1.3 kg CO2 eq', 'c) 0.3 kg CO2 eq', 'd) 0.8 kg CO2 eq']",a
Which food product has the lowest CO2 footprint per kilogram of food product?,"['a) Apple (organic), average', 'b) Orange', 'c) Pasta', 'd) Potatoes, fresh']",d
"What is the CO2 footprint of milk (organic), ESL, whole milk, composite carton per kilogram of food product?","['a) 1.7 kg CO2 eq', 'b) 0.3 kg CO2 eq', 'c) 0.4 kg CO2 eq', 'd) 1.2 kg CO2 eq']",a
"What is the CO2 footprint of prawns, frozen per kilogram of food product?","['a) 13.6 kg CO2 eq', 'b) 21.7 kg CO2 eq', 'c) 9.0 kg CO2 eq', 'd) 9.2 kg CO2 eq']",b
Which food product has the highest energy demand per kilogram of food product?,"['a) Olive oil', 'b) Beef', 'c) Butter', 'd) Bread']",a
"What is the CO2 footprint of beer, 0.5 L returnable glass bottle per kilogram of food product?","['a) 0.9 kg CO2 eq', 'b) 1.0 kg CO2 eq', 'c) 0.3 kg CO2 eq', 'd) 0.4 kg CO2 eq']",a
"What is the CO2 footprint of milk substitute, almond drink per kilogram of food product?","['a) 0.3 kg CO2 eq', 'b) 0.4 kg CO2 eq', 'c) 1.7 kg CO2 eq', 'd) 1.2 kg CO2 eq']",a
Which food product has the lowest phosphate rock footprint per kilogram of food product?,"['a) Apple, average', 'b) Beef', 'c) Bread, brown bread', 'd) Butter']",a
What is the CO2 footprint of beef (organic) per kilogram of food product?,"['a) 13.6 kg CO2 eq', 'b) 21.7 kg CO2 eq', 'c) 9.0 kg CO2 eq', 'd) 9.2 kg CO2 eq']",a
"What is the CO2 footprint of sausage substitute, vegan bratwurst per kilogram of food product?","['a) 5.2 kg CO2 eq', 'b) 4.6 kg CO2 eq', 'c) 12.5 kg CO2 eq', 'd) 7.9 kg CO2 eq']",b
Which food product has the lowest water footprint per kilogram of food product?,"['a) Apple, average', 'b) Beef', 'c) Bread, brown bread', 'd) Butter']",a
What is the CO2 footprint of cucumber (organic) with plastic film packaging per kilogram of food product?,"['a) 300g', 'b) 150g', 'c) 900,000g', 'd) 800g']",a
"What is the CO2 footprint of beef patty, frozen per kilogram of food product?","['a) 13.6 kg CO2 eq', 'b) 21.7 kg CO2 eq', 'c) 9.0 kg CO2 eq', 'd) 9.2 kg CO2 eq']",a
Which food product has the highest CO2 footprint per kilogram of food product?,"['a) Olive oil, disposable glass bottle', 'b) Beef', 'c) Butter', 'd) Bread, brown bread']",b
